zip_code,HUD Area Code,HUD Metro Fair Market Rent Area Name,city,state,0BR,0BR_90,0BR_110,1BR,1BR_90,1BR_110,2BR,2BR_90,2BR_110,3BR,3BR_90,3BR_110,4BR,4BR_90,4BR_110
19967,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$1370,$1233,$1507,$1480,$1332,$1628,$1950,$1755,$2145,$2490,$2241,$2739,$3060,$2754,$3366
19968,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$950,$855,$1045,$1030,$927,$1133,$1350,$1215,$1485,$1720,$1548,$1892,$2120,$1908,$2332
19969,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$910,$819,$1001,$990,$891,$1089,$1300,$1170,$1430,$1660,$1494,$1826,$2040,$1836,$2244
19970,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$1090,$981,$1199,$1190,$1071,$1309,$1560,$1404,$1716,$1990,$1791,$2189,$2450,$2205,$2695
19971,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$1100,$990,$1210,$1190,$1071,$1309,$1570,$1413,$1727,$2000,$1800,$2200,$2460,$2214,$2706
19973,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$810,$729,$891,$880,$792,$968,$1150,$1035,$1265,$1470,$1323,$1617,$1800,$1620,$1980
19975,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$960,$864,$1056,$1040,$936,$1144,$1370,$1233,$1507,$1750,$1575,$1925,$2150,$1935,$2365
19977,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1180,$1062,$1298,$1210,$1089,$1331,$1470,$1323,$1617,$2020,$1818,$2222,$2270,$2043,$2497
19979,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1100,$990,$1210,$1110,$999,$1221,$1360,$1224,$1496,$1920,$1728,$2112,$2140,$1926,$2354
19980,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1110,$999,$1221,$1120,$1008,$1232,$1370,$1233,$1507,$1930,$1737,$2123,$2160,$1944,$2376
08001,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1130,$1017,$1243,$1230,$1107,$1353,$1500,$1350,$1650,$1860,$1674,$2046,$2080,$1872,$2288
08002,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1640,$1476,$1804,$1830,$1647,$2013,$2190,$1971,$2409,$2650,$2385,$2915,$3050,$2745,$3355
08003,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1960,$1764,$2156,$2180,$1962,$2398,$2610,$2349,$2871,$3160,$2844,$3476,$3640,$3276,$4004
08004,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1710,$1539,$1881,$1900,$1710,$2090,$2280,$2052,$2508,$2760,$2484,$3036,$3180,$2862,$3498
08007,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1070,$963,$1177,$1190,$1071,$1309,$1420,$1278,$1562,$1720,$1548,$1892,$1980,$1782,$2178
08009,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1410,$1269,$1551,$1570,$1413,$1727,$1880,$1692,$2068,$2270,$2043,$2497,$2620,$2358,$2882
08010,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1430,$1287,$1573,$1590,$1431,$1749,$1900,$1710,$2090,$2300,$2070,$2530,$2650,$2385,$2915
08011,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1520,$1368,$1672,$1690,$1521,$1859,$2020,$1818,$2222,$2440,$2196,$2684,$2820,$2538,$3102
08012,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1330,$1197,$1463,$1480,$1332,$1628,$1770,$1593,$1947,$2140,$1926,$2354,$2470,$2223,$2717
08014,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1750,$1575,$1925,$1950,$1755,$2145,$2340,$2106,$2574,$2820,$2538,$3102,$3260,$2934,$3586
08015,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1360,$1224,$1496,$1510,$1359,$1661,$1810,$1629,$1991,$2190,$1971,$2409,$2520,$2268,$2772
08016,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1230,$1107,$1353,$1370,$1233,$1507,$1640,$1476,$1804,$1980,$1782,$2178,$2290,$2061,$2519
08018,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1250,$1125,$1375,$1400,$1260,$1540,$1670,$1503,$1837,$2020,$1818,$2222,$2330,$2097,$2563
08019,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1960,$1764,$2156,$2180,$1962,$2398,$2610,$2349,$2871,$3160,$2844,$3476,$3640,$3276,$4004
08020,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1650,$1485,$1815,$1830,$1647,$2013,$2190,$1971,$2409,$2650,$2385,$2915,$3060,$2754,$3366
08021,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1310,$1179,$1441,$1450,$1305,$1595,$1740,$1566,$1914,$2100,$1890,$2310,$2430,$2187,$2673
08022,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1470,$1323,$1617,$1640,$1476,$1804,$1960,$1764,$2156,$2370,$2133,$2607,$2740,$2466,$3014
08023,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1400,$1260,$1540,$1550,$1395,$1705,$1860,$1674,$2046,$2250,$2025,$2475,$2590,$2331,$2849
08025,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1410,$1269,$1551,$1570,$1413,$1727,$1880,$1692,$2068,$2270,$2043,$2497,$2620,$2358,$2882
