zip_code,HUD Area Code,HUD Metro Fair Market Rent Area Name,city,state,keep,0BR,0BR_90,0BR_110,1BR,1BR_90,1BR_110,2BR,2BR_90,2BR_110,3BR,3BR_90,3BR_110,4BR,4BR_90,4BR_110
20019,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,200 ","$1,080 ","$1,320 ","$1,220 ","$1,098 ","$1,342 ","$1,380 ","$1,242 ","$1,518 ","$1,720 ","$1,548 ","$1,892 ","$2,030 ","$1,827 ","$2,233 "
20020,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,260 ","$1,134 ","$1,386 ","$1,280 ","$1,152 ","$1,408 ","$1,450 ","$1,305 ","$1,595 ","$1,800 ","$1,620 ","$1,980 ","$2,140 ","$1,926 ","$2,354 "
20024,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,930 ","$1,737 ","$2,123 ","$1,970 ","$1,773 ","$2,167 ","$2,230 ","$2,007 ","$2,453 ","$2,770 ","$2,493 ","$3,047 ","$3,290 ","$2,961 ","$3,619 "
20026,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20027,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20029,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20030,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20032,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,250 ","$1,125 ","$1,375 ","$1,270 ","$1,143 ","$1,397 ","$1,440 ","$1,296 ","$1,584 ","$1,790 ","$1,611 ","$1,969 ","$2,120 ","$1,908 ","$2,332 "
20033,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20035,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20036,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,020 ","$1,818 ","$2,222 ","$2,050 ","$1,845 ","$2,255 ","$2,330 ","$2,097 ","$2,563 ","$2,900 ","$2,610 ","$3,190 ","$3,440 ","$3,096 ","$3,784 "
20037,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,180 ","$1,962 ","$2,398 ","$2,220 ","$1,998 ","$2,442 ","$2,520 ","$2,268 ","$2,772 ","$3,130 ","$2,817 ","$3,443 ","$3,720 ","$3,348 ","$4,092 "
20038,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20039,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20040,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20041,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,940 ","$1,746 ","$2,134 ","$1,970 ","$1,773 ","$2,167 ","$2,240 ","$2,016 ","$2,464 ","$2,790 ","$2,511 ","$3,069 ","$3,300 ","$2,970 ","$3,630 "
20043,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20044,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20045,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20052,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,050 ","$1,845 ","$2,255 ","$2,080 ","$1,872 ","$2,288 ","$2,370 ","$2,133 ","$2,607 ","$2,940 ","$2,646 ","$3,234 ","$3,490 ","$3,141 ","$3,839 "
20053,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20056,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20057,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,050 ","$1,845 ","$2,255 ","$2,090 ","$1,881 ","$2,299 ","$2,370 ","$2,133 ","$2,607 ","$2,950 ","$2,655 ","$3,245 ","$3,490 ","$3,141 ","$3,839 "
20059,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20064,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,590 ","$1,431 ","$1,749 ","$1,610 ","$1,449 ","$1,771 ","$1,830 ","$1,647 ","$2,013 ","$2,280 ","$2,052 ","$2,508 ","$2,700 ","$2,430 ","$2,970 "
20066,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20071,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20076,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20090,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20091,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,720 ","$1,548 ","$1,892 ","$1,750 ","$1,575 ","$1,925 ","$1,980 ","$1,782 ","$2,178 ","$2,460 ","$2,214 ","$2,706 ","$2,920 ","$2,628 ","$3,212 "
20101,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,940 ","$1,746 ","$2,134 ","$1,970 ","$1,773 ","$2,167 ","$2,240 ","$2,016 ","$2,464 ","$2,790 ","$2,511 ","$3,069 ","$3,300 ","$2,970 ","$3,630 "
20103,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,940 ","$1,746 ","$2,134 ","$1,970 ","$1,773 ","$2,167 ","$2,240 ","$2,016 ","$2,464 ","$2,790 ","$2,511 ","$3,069 ","$3,300 ","$2,970 ","$3,630 "
20105,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,440 ","$2,196 ","$2,684 ","$2,480 ","$2,232 ","$2,728 ","$2,810 ","$2,529 ","$3,091 ","$3,500 ","$3,150 ","$3,850 ","$4,140 ","$3,726 ","$4,554 "
20106,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,110 ","$999 ","$1,221 ","$1,130 ","$1,017 ","$1,243 ","$1,370 ","$1,233 ","$1,507 ","$1,720 ","$1,548 ","$1,892 ","$2,180 ","$1,962 ","$2,398 "
20108,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,570 ","$1,413 ","$1,727 ","$1,600 ","$1,440 ","$1,760 ","$1,810 ","$1,629 ","$1,991 ","$2,250 ","$2,025 ","$2,475 ","$2,670 ","$2,403 ","$2,937 "
20109,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,730 ","$1,557 ","$1,903 ","$1,760 ","$1,584 ","$1,936 ","$2,000 ","$1,800 ","$2,200 ","$2,490 ","$2,241 ","$2,739 ","$2,950 ","$2,655 ","$3,245 "
20110,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,590 ","$1,431 ","$1,749 ","$1,620 ","$1,458 ","$1,782 ","$1,840 ","$1,656 ","$2,024 ","$2,290 ","$2,061 ","$2,519 ","$2,710 ","$2,439 ","$2,981 "
20111,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,700 ","$1,530 ","$1,870 ","$1,730 ","$1,557 ","$1,903 ","$1,960 ","$1,764 ","$2,156 ","$2,440 ","$2,196 ","$2,684 ","$2,890 ","$2,601 ","$3,179 "
20112,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,270 ","$2,043 ","$2,497 ","$2,310 ","$2,079 ","$2,541 ","$2,620 ","$2,358 ","$2,882 ","$3,260 ","$2,934 ","$3,586 ","$3,860 ","$3,474 ","$4,246 "
20113,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,790 ","$1,611 ","$1,969 ","$1,820 ","$1,638 ","$2,002 ","$2,070 ","$1,863 ","$2,277 ","$2,580 ","$2,322 ","$2,838 ","$3,050 ","$2,745 ","$3,355 "
20115,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,480 ","$1,332 ","$1,628 ","$1,510 ","$1,359 ","$1,661 ","$1,710 ","$1,539 ","$1,881 ","$2,130 ","$1,917 ","$2,343 ","$2,520 ","$2,268 ","$2,772 "
20117,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,110 ","$999 ","$1,221 ","$1,130 ","$1,017 ","$1,243 ","$1,280 ","$1,152 ","$1,408 ","$1,590 ","$1,431 ","$1,749 ","$1,890 ","$1,701 ","$2,079 "
20118,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,940 ","$1,746 ","$2,134 ","$1,970 ","$1,773 ","$2,167 ","$2,240 ","$2,016 ","$2,464 ","$2,790 ","$2,511 ","$3,069 ","$3,300 ","$2,970 ","$3,630 "
20119,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,510 ","$1,359 ","$1,661 ","$1,530 ","$1,377 ","$1,683 ","$1,740 ","$1,566 ","$1,914 ","$2,160 ","$1,944 ","$2,376 ","$2,570 ","$2,313 ","$2,827 "
20120,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,900 ","$1,710 ","$2,090 ","$1,930 ","$1,737 ","$2,123 ","$2,190 ","$1,971 ","$2,409 ","$2,720 ","$2,448 ","$2,992 ","$3,230 ","$2,907 ","$3,553 "
20121,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,900 ","$1,710 ","$2,090 ","$1,930 ","$1,737 ","$2,123 ","$2,190 ","$1,971 ","$2,409 ","$2,720 ","$2,448 ","$2,992 ","$3,230 ","$2,907 ","$3,553 "
